M_n,n_snps,n_loci
2,0,0.780579549
2,1,0.158679298
2,2,0.041794372
2,3,0.01232934
2,4,0.003900808
2,5,0.001602118
2,6,0.000626916
2,7,0.000278629
2,8,6.96573E-05
2,9+,0.000139315
3,0,0.764445042
3,1,0.161918839
3,2,0.044813222
3,3,0.014982532
3,4,0.006315507
3,5,0.003090567
3,6,0.002217146
3,7,0.000671862
3,8,0.000873421
3,9+,0.000671862
4,0,0.756635643
4,1,0.159485235
4,2,0.044409974
4,3,0.01660347
4,4,0.010513616
4,5,0.005228082
4,6,0.00356199
4,7,0.001149029
4,8,0.000976675
4,9+,0.001436286
5,0,0.742475455
5,1,0.162991577
5,2,0.044047427
5,3,0.017114652
5,4,0.012661623
5,5,0.008691453
5,6,0.00509684
5,7,0.002575245
5,8,0.00171683
5,9+,0.002628896
6,0,0.728138874
6,1,0.167256946
6,2,0.046790043
6,3,0.018207213
6,4,0.012470694
6,5,0.008679603
6,6,0.007033471
6,7,0.004240036
6,8,0.002743553
6,9+,0.004439567
7,0,0.719013207
7,1,0.169150262
7,2,0.046498879
7,3,0.018390232
7,4,0.012708697
7,5,0.010017443
7,6,0.008023922
7,7,0.006329429
7,8,0.003438824
7,9+,0.006429105
8,0,0.715768685
8,1,0.166092769
8,2,0.046637634
8,3,0.019242455
8,4,0.013570995
8,5,0.010785902
8,6,0.008355276
8,7,0.006582945
8,8,0.004051043
8,9+,0.008912295
9,0,0.71384298
9,1,0.16565083
9,2,0.04710744
9,3,0.01905992
9,4,0.01368802
9,5,0.01048554
9,6,0.00785124
9,7,0.00686983
9,8,0.00470041
9,9+,0.010743802